val_id,id,study,Is the model published previously?,movement_behaviour,model_type,model_test_outcomes,model_test_classification,test_criterion,age_group,test_device,health,wear_site,features,single_feature,method,method_sub,method_group,train_environment,train_protocol,test_environment,test_protocol,validation_type,mape_mean,mape_sd,rmse_met_mean,rmse_met_sd,n_participants,sd_origin,k_folds,other
211,1844,Ahmadi 2020,No,Energy expenditure association,Supervised regression,PAEE (kcals/min and METs),n.a.,IC,Children and Youth,GT3X+ (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Frequency-domain,"25th percentile (x), 25th percentile (z), 90th percentile (x), coefficient of variation (y), coefficient of variation (z), dominant frequency (y), dominant frequency (vm), maximum (x), minimum (vm), minimum (x), minimum (y), skewness (y), standard deviation (vm), zero crossings (x), zero crossings (z).",Classical ML,Random forest,Machine Learning or Other Models,Free-living,Hybrid,Free-living,Hybrid,Hold-out,26.40,n.r.,0.96,n.r.,10,n.r.,10,rmse_kcal.min
212,1844,Ahmadi 2020,No,Energy expenditure association,Supervised regression,PAEE (kcals/min and METs),n.a.,IC,Children and Youth,GT3X+ (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Frequency-domain,"25th percentile (x), 25th percentile (z), 90th percentile (x), coefficient of variation (y), coefficient of variation (z), dominant frequency (y), dominant frequency (vm), maximum (x), minimum (vm), minimum (x), minimum (y), skewness (y), standard deviation (vm), zero crossings (x), zero crossings (z).",Classical ML,Random forest,Machine Learning or Other Models,Free-living,Hybrid,Free-living,Hybrid,Cross-validation,27.40,14,0.96,0.67,15,cv_folds,15,rmse_kcal.min
213,4346,Bai 2022,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Older adults,GT3X-BT (ActiGraph),Clinical,Right wrist,Time-domain; Frequency-domain; Spatial,"Mean, standard deviation, coefficient of variation, minimum, maximum, quantiles (25th, 75th), moments (third, fourth), skewness, kurtosis, mean angle between x-axis and VM, standard deviation of angles in the window, percentage of power of VM (0.6-2.5 Hz), dominant frequency of VM, fraction of power in VM at dominant frequency",Classical ML,GradientBoosting,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,0.836,0.059,n.a.,n.a.,n.a.,
214,2529,Davoudi 2021,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Older adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain; Frequency-domain; Spatial,"Mean, standard deviation, mean angle between x-axis and VM, standard deviation of angle, covariance, skewness, kurtosis, entropy, coefficient of variation, correlations between each axis (xy,xz,yz), percent power (0.6€“2.5 Hz), dominant frequency, fraction of power at dominant frequency",Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Hold-out,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,
215,13339,Dong 2014,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,n.r.,Custom (MemSic Inc.),n.r.,Right wrist,Time-domain; Anthropometric,"Mean (mg), entropy, BMI (kg/m^2), height (cm), weight (kg), fat %",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,n.r.,n.r.,n.a.,n.a.,n.a.,
216,5534,Ellingson 2017,Yes - Staudenmayer 2015,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain; Spatial,"Standard deviation of VM, mean angle of acceleration relative to vertical",Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,External,14.60,9.49,n.r.,n.r.,51,participants,n.a.,
217,5534,Ellingson 2017,Yes - Staudenmayer 2015,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),Healthy,Right wrist,Time-domain; Spatial,"Standard deviation of VM, mean angle of acceleration relative to vertical",Classical ML,DecisionTree,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,External,19.24,12.97,n.r.,n.r.,51,participants,n.a.,
218,901,Ellis 2014,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GT3X+ (ActiGraph),n.r.,Non-dominant wrist,Time-domain; Frequency-domain; Spatial,"VM: Average, standard deviation, coefficient of variation, minimum, maximum, 25th, 75th percentiles, lag 1 sec autocorrelation, third, fourth moments, skewness, kurtosis, dominant frequency, power at dominant frequency, total energy, entropy, 15 FFT coefficients
Multi-axis: Correlation between axis, average of roll, pitch, and yaw, standard deviation of roll, pitch, and yaw, principal direction of motion",Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,1.09,n.r.,n.a.,n.a.,n.a.,
219,26667,Hibbing 2023,Yes - Montoye 2017,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain,"10th, 25th, 50th, 75th, 90th percentiles, covariance",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Free-living,Unstructured,External,29.50,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
220,26667,Hibbing 2023,Yes - Staudenmayer 2015,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Healthy,Non-dominant wrist,Time-domain; Spatial,"Standard deviation of VM, mean angle of acceleration relative to vertical",Classical ML,RandomForest,Machine Learning or Other Models,Laboratory,Structured,Free-living,Unstructured,External,34.40,n.r.,n.r.,n.r.,24,n.r.,n.a.,"r2, mean bias, mae"
221,5071,Huang 2024,No,Energy expenditure association,Supervised regression,TEE (kcal/day),n.a.,DLW,Adults,GT9X Link (ActiGraph),Wheelchair,Dominant wrist,Time-domain; Frequency-domain,n.r. (subset of extracted features based on feature selection),Classical ML,RandomForest,Machine Learning or Other Models,Free-living,Unstructured,Free-living,Unstructured,Cross-validation,7.40,5.1,n.r.,n.r.,7,cv_folds,7,mae
222,12084,Mackintosh 2016,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Children and Youth,GT3X+ (ActiGraph),n.r.,Left wrist,Time-domain,Mean and variance of activity counts,Classical ML,ANN,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,1.3,n.r.,n.a.,n.a.,n.a.,r
223,3298,Mardini 2021,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults; Older adults,wGT3X-BT (ActiGraph),Healthy,Right wrist,Time-domain; Frequency-domain,n.r.,Classical ML,GradientBoosting,Machine Learning or Other Models,Laboratory,Structured,Laboratory,Structured,Cross-validation,n.r.,n.r.,0.891,0.028,n.a.,n.a.,n.a.,
224,3389,Montoye 2015,No,Energy expenditure association,Supervised regression,PAEE (METs),n.a.,IC,Adults,GENEActiv (ActivInsights),Healthy,Left wrist,Time-domain; Anthropometric; Demographic,"Percentiles 10th, 25th, 50th, 75th, 90th, covariance, weight, height, sex",Classical ML,ANN,Machine Learning or Other Models,Laboratory,Hybrid,Laboratory,Hybrid,Cross-validation,n.r.,n.r.,1.15,0.21,n.a.,n.a.,n.a.,r
